date,phc_id,state,district,city,latitude,longitude,medicine,medicine_category,patient_count,opd_count,ipd_count,disease_cases,mortality,opening_stock,received_quantity,dispensed_quantity,closing_stock,current_stock,daily_consumption,supply_lead_time,incoming_supply,bed_occupancy,medicine_availability,temperature,rainfall,humidity,vaccination_coverage,previous_7_day_demand,previous_30_day_demand,next_7_day_demand,future_stock_min,stock_out
2023-01-01,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,88,79,9,19,0,358,0,61,297,297,61,4,0,0.4855757052851243,1.0,31.17857958991567,0.0060010290506834485,57.50939362492276,0.7501346925669922,0.0,0.0,346.0,93.0,0
2023-01-02,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,107,96,11,33,0,297,0,46,251,251,46,1,0,0.4694542832374124,1.0,38.68666755452864,1.9061824809952754,43.56192344564826,0.766999432951589,61.0,61.0,334.0,93.0,0
2023-01-03,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,46,41,5,15,0,251,0,58,193,193,58,3,0,0.2117828603981151,1.0,23.498000040268675,4.383831565966123,36.345868187488605,0.6025179183577035,107.0,107.0,335.0,93.0,0
2023-01-04,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,74,66,8,19,0,193,0,42,151,151,42,2,0,0.4179009083218104,1.0,27.265352315217953,0.5329160822472934,37.042863563172794,0.9471295359597502,165.0,165.0,326.0,93.0,0
2023-01-05,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,62,55,7,10,0,151,0,58,93,93,58,1,0,0.3282098825900795,1.0,27.39684474887809,3.9189420848176875,39.29871028027522,0.8469231127898798,207.0,207.0,309.0,484.0,0
2023-01-06,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,35,31,4,7,0,93,700,49,744,744,49,2,700,0.20404609716774547,1.0,37.43442585239663,2.2329743870760965,47.972457691802134,0.8439700930535611,265.0,265.0,312.0,432.0,0
2023-01-07,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,103,92,11,28,0,744,0,52,692,692,52,4,0,0.4978802395521809,1.0,26.67311041755309,3.1793830918256427,52.17477443548697,0.7297922941149317,314.0,314.0,315.0,377.0,0
2023-01-08,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,61,54,7,7,0,692,0,41,651,651,41,5,0,0.30453795797855243,1.0,42.92054973195078,2.0032242914276415,46.24700919419692,0.7730289321663991,366.0,366.0,331.0,320.0,0
2023-01-09,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,66,59,7,9,0,651,0,34,617,617,34,3,0,0.3134959275402328,1.0,23.580195351260862,0.16804675698129212,43.98059651569958,0.6001005451491181,346.0,407.0,339.0,278.0,0
2023-01-10,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,82,73,9,26,0,617,0,59,558,558,59,5,0,0.37622985436712714,1.0,38.39018636929252,1.7656383167826402,35.80572468204825,0.6995728254627328,334.0,441.0,338.0,220.0,0
2023-01-11,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,73,65,8,27,0,558,0,33,525,525,33,1,0,0.36177720090751025,1.0,25.442857447447274,4.816438325327444,31.060313947884886,0.7424971191375205,335.0,500.0,344.0,181.0,0
2023-01-12,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,67,60,7,17,0,525,0,41,484,484,41,4,0,0.3150198088376735,1.0,30.095074987616798,1.699829472117702,24.680359900874564,0.7549690241971567,326.0,533.0,359.0,125.0,0
2023-01-13,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,67,60,7,18,0,484,0,52,432,432,52,2,0,0.2962775622017292,1.0,38.099015782015,3.7873664252333623,58.44954901206457,0.6236439912314388,309.0,574.0,349.0,125.0,0
2023-01-14,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,118,106,12,12,0,432,0,55,377,377,55,3,0,0.5395818262468987,1.0,35.30738928195299,1.1496506929457706,32.629227761157146,0.6325533005567321,312.0,626.0,355.0,125.0,0
2023-01-15,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,68,61,7,12,0,377,0,57,320,320,57,2,0,0.37563502319332753,1.0,17.280864616010675,4.656981199178313,39.062218163571586,0.9184746106457606,315.0,681.0,338.0,125.0,0
2023-01-16,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,53,47,6,18,0,320,0,42,278,278,42,4,0,0.33347261766197317,1.0,22.045841157904803,1.2102825892248186,30.61621493303139,0.64195747242917,331.0,738.0,347.0,125.0,0
2023-01-17,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,27,24,3,7,0,278,0,58,220,220,58,4,0,0.1791216797594669,1.0,33.41480925827257,3.821221063177635,41.658958184120976,0.9139499206176532,339.0,780.0,348.0,125.0,0
2023-01-18,PHC-000,Delhi,New Delhi,New Delhi,10.50021510445334,75.50058636738238,Amoxicillin 250mg,Antibiotic,69,62,7,9,0,220,0,39,181,181,39,3,0,0.33924462144795664,1.0,20.48615589389086,3.821311627179638,40.44534542568523,0.9288790474777577,338.0,838.0,352.0,125.0,0
